fundersOrg,forOrg,fundersProgram,fundersCode,forProgram,forCode,requestedAmount,receivedAmount,shortfall,community,location,commChar,commCode2
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org20,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P20-a1,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Female
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org20,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P20-a1,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Homeless
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org20,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P20-a1,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Male
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org20,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P20-a2,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Female
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org20,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P20-a2,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Homeless
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org20,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P20-a2,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Male
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org30,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P30-a3,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Female
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org30,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P30-a3,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Homeless
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org30,http://helpseeker.co/compass#P100-a100,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P30-a3,http://helpseeker.co/compass#CL-Funding,300.0,200.0,100.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Male
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org40,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P40-a4,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area1,http://helpseeker.co/compass#Area1_Location,http://helpseeker.co/compass#Area1_CommunityCharacteristic,http://helpseeker.co/compass#CL-Female
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org40,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P40-a4,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area1,http://helpseeker.co/compass#Area1_Location,http://helpseeker.co/compass#Area1_CommunityCharacteristic,http://helpseeker.co/compass#CL-Homeless
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org40,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P40-a4,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area1,http://helpseeker.co/compass#Area1_Location,http://helpseeker.co/compass#Area1_CommunityCharacteristic,http://helpseeker.co/compass#CL-Male
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org40,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P40-a5,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area1,http://helpseeker.co/compass#Area1_Location,http://helpseeker.co/compass#Area1_CommunityCharacteristic,http://helpseeker.co/compass#CL-Female
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org40,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P40-a5,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area1,http://helpseeker.co/compass#Area1_Location,http://helpseeker.co/compass#Area1_CommunityCharacteristic,http://helpseeker.co/compass#CL-Homeless
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org40,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P40-a5,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area1,http://helpseeker.co/compass#Area1_Location,http://helpseeker.co/compass#Area1_CommunityCharacteristic,http://helpseeker.co/compass#CL-Male
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org50,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P50-a6na7,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Female
http://helpseeker.co/compass#Org100,http://helpseeker.co/compass#Org50,http://helpseeker.co/compass#P101-a101,http://helpseeker.co/compass#CL-Funding,http://helpseeker.co/compass#P50-a6na7,http://helpseeker.co/compass#CL-Funding,105.0,100.0,5.0,http://helpseeker.co/compass#Area0,http://helpseeker.co/compass#Area0_Location,http://helpseeker.co/compass#Area0_CommunityCharacteristic,http://helpseeker.co/compass#CL-Homeless
